,url,title,author,release_time,content
0,http://toutiao.com/group/6809976122155991556/,中国十大港口,孤单的人孤单的歌,2020-03-30 20:53:30,"宁波舟山港
宁波港的前身是宁波港务局。宁波港由北仑港区、镇海港区、宁波港区、大榭港区、穿山港区组成，是一个集内河港、河口港和海港于一体的多功能、综合性的现代化深水大港。现有生产性泊位309座，其中万吨级以上深水泊位60座。最大的有25万吨级原油码头，20万吨级（可兼靠30万吨船）的卸矿码头，第六代国际集装箱专用泊位以及5万吨级液体化工专用泊位；已与世界上100多个国家和地区的600多个港口通航。

上海港
上海港，是中国上海市港口，位于中国大陆海岸线中部、长江入海口处，前通中国南北沿海和世界大洋，后贯长江流域和江浙皖内河、太湖流域 。截至2005年，上海港水域面积3620.2平方公里。其中长江口水域3580平方公里；黄浦江水域33平方公里，港区陆域7.2平方公里。海港港区陆域由长江口南岸港区、杭州湾北岸港区、黄浦江港区、洋山深水港区组成 。截至2016年底，上海港已经与全球214个国家和地区的500多个港口建立了集装箱货物贸易往来，拥有国际航线80多条 。2016年，上海港完成货物吞吐量7.02亿吨，完成集装箱吞吐量3713万标准箱 。2018年，上海港港口货物吞吐量世界排名第二。

唐山港
唐山港是河北省、北京市、华北及西北部分地区经济发展和对外开放的重要窗口之一。地处渤海湾北岸，沿大沽口至秦皇岛海岸的岬角上，大清河口与滦河口之间。唐山港通航以来，重点强化了煤炭、钢铁、矿石等优势货种的运输，同时发展了汽车、机电产品、化工产品等新货种的运输市场，吞吐量连年增长。

广州港
1978年以来，广州港发展成为中国综合运输体系的重要枢纽和华南地区对外贸易的重要口岸。从珠江口至南沙港区的航道通航水深－17米，通航宽度243米，可满足10万吨级集装箱船舶不乘潮单向通航、兼顾12万吨级散货船乘潮单向通航、5万吨级船舶不乘潮双向通航进出南沙港区。

青岛港
青岛港位于山东半岛胶州湾畔，濒临黄海，与日本和朝鲜半岛隔海相望，是中国沿黄河流域和环太平洋西岸的国际贸易口岸和中转枢纽。截至2018年底，青岛港有集装箱航线160多条。2017年，青岛港货物吞吐量突破5.1亿吨，其中集装箱吞吐量突破1831万标准箱。2018年，完成操作箱量115.4万TEU，港口货物吞吐量世界排名第六。

苏州港
苏州组合港位于中国江苏省苏州市,地处长江入海口的咽喉地带，背靠经济发达的苏、锡、常地区，东南紧邻上海，由原国家一类开放口岸张家港港、常熟港和太仓港三港合一组建成的新兴港口，原三个港口相应成为苏州港张家港港区、常熟港区和太仓港区。江苏省最重要的集装箱干线港之一，是长江三角洲对外开放的重要依托，是长江中上游地区和西部大开发的重要平台，是江海河联运，内外贸货物运输、装卸与仓储、多功能综合性港口。

天津港
天津港，也称天津新港，位于中华人民共和国天津市海河入海口，处于京津冀城市群和环渤海经济圈的交汇点上，是中国北方重要的综合性港口和对外贸易口岸。
天津港是在淤泥质浅滩上挖海建港、吹填造陆建成的世界航道等级最高的人工深水港。目前，天津港主航道水深已达21米，可满足30万吨级原油船舶和国际上最先进的集装箱船进出港。

日照港
日照港东临黄海，北与青岛港、南与连云港港毗邻，隔海与日本、韩国、朝鲜相望，是中国重点发展的沿海20个主枢纽港之一。2018年上半年，日照港集团完成吞吐量1.94亿吨，居当时中国沿海港口第8位，当时世界港口排名第11位，2018年，日照港吞吐量跃居当时中国沿海港口第七位。

烟台港
烟台港位于山东半岛北侧芝罘湾内，始建于1861年，港北由芝罘岛与市区相连，相成天然屏障，扼守渤海湾口，隔海与辽东半岛相望，与日本、韩国一衣带水，位于东北亚国际经济圈的核心地带，是中国沿海南北大通道（同江至三亚）的重要枢纽和贯通日韩至欧洲新欧亚大陆桥的重要节点。
烟台港由芝罘湾港区、西港区、蓬莱港区、龙口港区四大港区组成。
2016年8月18日，烟台港至东南亚汽车滚装运输航线正式开通，这是中国第一条滚装外贸自营航线。

大连港。
大连港位于辽东半岛南端的大连湾内，港阔水深，冬季不冻，万吨货轮畅通无阻。大连是哈大线的终点，以东北三省为经济腹地，是东北的门户，也是东北地区最重要的综合性外贸口岸。
大连港集团已与世界上160多个国家和地区、300多个港口建立了海上经贸航运往来关系，开辟了集装箱国际航线75条，已成为中国主要集装箱海铁联运和海上中转港口之一。
大连港是亚洲最先进的散装液体化工产品转运基地，是中国最大的海上客/车滚装运输港口。

（本文素材取自网络，如有侵权，联系删除。）"
1,http://toutiao.com/group/6815909919393317390/,全球和中国有关的六大港口，你知道吗？,地图帝,2020-04-15 20:11:43,"日不落大英帝国如日中天之际，世界到处都是它的贸易中转站；美利坚合众国后来居上，其港口和基地同样遍布海外；如今中国要崛起，参与建设外部港口自然是必经之路，而事实上我们已经在巴基斯坦、缅甸和斯里兰卡等沿海国家参与建设六个这样的“支点”。接下来我们就一起来盘点一下分别是哪些港口？
一、汉班托塔港
汉班托塔港位于斯里兰卡首都科伦坡东南方向，其实港口具体在什么位置无关紧要，问题的关键在于斯里兰卡这个国家。从地图上看，斯里兰卡深入印度洋中部，是东亚沟通非洲、中东以及欧洲航线的必经之路，所以来往商船大多在此地停靠补给。早在明朝时期，斯里兰卡就是郑和舰队下西洋的重要中转站之一，只是那个时候它还被称为“锡兰山国”。时至今日，每年进出印度洋的集中箱货运占到全球总量的一半，石油运输的比例更是高达三分之二，斯里兰卡的战略地位自然也就跟着水涨船高。而汉班托塔港的作用正是体现在其能够充当中国经略印度洋的中转枢纽和重要支点。
二、皎漂港
皎漂深水港是缅甸的重要港口之一，其面向孟加拉湾，背靠中缅铁路的南端，也就是说从皎漂港卸下的货物可以不必再经马六甲海峡抵达中国，相反可以通过中缅铁路直接进入云南境内。在没有获得皎漂港的开发权之前，中国石油运输的85%都要途径马六甲海峡，而在中标皎漂港项目之后就可以开发一条完全不同的运输路线，从而大为降低对马六甲海峡的依赖，因此这也是中国重点打造的海外港口之一。
三、苏伊士港
苏伊士港位于苏伊士运河南端，直面红海，是埃及苏伊士省的首府城市。背靠苏伊士运河这条举世闻名的海上要道，苏伊士港的战略地位可见一斑。该港口属于中国“二十一世纪海上丝绸之路”战略的组成部分之一。其产值早在2012年就已经达到5500万美元，今后的发展规模想必也不会逊色多少，而最终的目标就是沿着古老的丝绸之路贸易路线，建立一个连接欧、亚、非的贸易和物流网络。
四、瓜达尔港
在中国所有的海外港口中，瓜达尔港的名号最为响亮，因为它不仅同皎漂港发挥着一样的作用，即摆脱对马六甲海峡的依赖，更重要的是该港口是中巴传统友谊的象征。从地图上看，瓜达尔港位于巴基斯坦，抵近伊朗边境，从波斯湾出来的船只首先进入阿曼湾，紧接着便是瓜达尔港面前的海域。也就是说，产自波斯湾的石油如果从瓜达尔港经管道输送至国内的话，不仅不用途径浩瀚的印度洋，甚至连阿拉伯海也不用经过。
五、吉布提港
吉布提的特殊之处在于该国三面被厄立特里亚、埃塞俄比亚和索马里包围，但位于红海与亚丁湾交界的位置却使其成为来往军舰和商船必不可少的停靠点和补给站。与吉布提相比，尽管厄立特里亚和索马里都有着漫长的海岸线，但条件优越的塔朱拉湾却是吉布提击败其左右邻居的关键。多年以来，作为东非最大的现代化港口之一，吉布提港成为扼守欧、亚、非三大洲的交通要冲，自然也是包括中国在内的各方经营重点。
六、比雷埃夫斯港
比雷埃夫斯港与前面几个港口都不相同，因为这是中国少有的深入欧洲的一个贸易港，其位于希腊东南，同时也是该国最大的港口。与中国居高不下的经济增速截然相反，希腊连年负债，2008年中国投资取得比雷埃夫斯港的经营权，此举既挽救了希腊濒临崩溃的经济，也成为我国在希腊基础设施方面最成功的投资。
总结一下和我们有关的六个大港口：汉班托塔港、皎漂港、苏伊士港、瓜达尔港、吉布提港、比雷埃夫斯港。"
2,http://mp.weixin.qq.com/s?__biz=MzI4ODc0NjIzNQ==&mid=2247510710&idx=1&sn=047432cee4aef429f277211e8944a201,,,,
3,http://toutiao.com/group/6482580268715606542/,,,,
4,https://rsstoutiao.oeeee.com/mp/toutiao/BAAFRD000020191119229241.html,,,,
5,http://toutiao.com/group/6874880381972120072/,澳洲罕见表态：将允许中企租借港口99年，中国心血并没有白费,国际观察站,2020-09-21 18:07:04,"澳洲这次罕见表态：将允许中企租借港口99年，中国的心血并没有白费，看来澳大利亚也是在衡量了利弊之后才做出的决定啊！

可能现在有不少人对于澳大利亚这个国家是非常了解的，毕竟他们今年在国际社会上的表现异常突出，对于我国也态度也十分明确，甚至还紧跟美国的脚步发表了很多对于我们国家并不友好的言论，这种行为在很多人看来都是非常失望的，要知道中澳之间可有着不少贸易合作，交流也是十分密切的，所以在他们有了如此选择之后也难怪有不少人都感到难以理解。
只不过如果要是澳大利亚方面并没有在合作上搞出小动作，那我国也并不会深究，毕竟世界上想要讨好美国的国家并不在少数，我们也并不会因为澳大利亚的亲美行为就断绝跟他们的合作，但这一切都在他们不搞事情的前提下，一旦澳大利亚做出了伤害我国利益的事情，那我们也不会放任不管。
澳大利亚的达尔文港虽然在国际上极具战略意义，但值得一提的是中企早在5年前就已经拿下了达尔文港的99年经营权，所以这个港口我国也占据了一定的主动权，只不过这样的情况在澳大利亚推出了新规定以后就发生了改变。
澳大利亚当地有一部分人认为中国租借港口的行为将会影响他们跟其他国家的合作，所以澳大利亚是能够将该方案进行否决的，但这样的情况在我国减少了跟澳大利亚的合作，他们的出口经济出现了亏损之后就又迎来了转折，澳洲方面也罕见表态：将允许中企租借港口99年，看来中国的心血并没有白费，要是我国没有现在这么强大的综合国力，相信在这个问题上还会被他们“纠缠”很长一段时间。"
6,http://toutiao.com/group/6851107254922396171/,世界10大港口全在亚洲，中国独占7个，美国欧洲一个没有,准哥看世界,2020-07-19 16:35:12,"2000多年前，古罗马哲学家西塞罗这样描述过海洋的重要性“谁控制了海洋，谁就控制了一切。”即使今日，海洋的重要性还是不可替代。
今天我们就来了解一下全球十大港口。世界第一大集装箱港口仍为我国的上海港，上海港以3653万标箱的吞吐量，连续6年坐稳全球第一的宝座。第二名的新加坡港与上海港差距达500万标箱，已被上海港甩出一条街。上海港是全球最繁忙的集装箱码头，平均每一秒就有一个集装箱在这里起吊装卸，其年货物吞吐量占全国港口的20%。
第二新加坡港，新加坡港位于新加坡的南部海岸，西临马六甲海峡的东南侧，南临新加坡海峡的北侧，也是世界最繁忙的集装箱港口之一。共有250多条航线来往世界各地，约有80个国家和地区130多家公司的各种船舶日夜进出该港，平均每12分钟就有一艘船舶进出。
第三深圳港，完成集装箱吞吐量2420万标箱，连续三年稳坐全球第三的位置。深圳港首次超越香港港，跃居全球第三，其后逐渐扩大与香港港的差距，世界第三的位置牢牢站稳。
第四宁波-舟山港， 2006年1月1日原宁波港和舟山港正式合并。近年发展势头迅猛，将曾经连续11年排名全球集装箱港口第五位的釜山港拉下马，之后马不停蹄，又夺得香港港全球第四的位置。宁波-舟山港集装箱吞吐量增长6%，居前十港口前列。宁波-舟山港与全球100多个国家的200多个港口有货运往来。
第五香港港，集装箱吞吐量已连续四年下跌，增幅为-9.5%，创下13年来的新低，增速在前十大港口中垫底。值得注意的是，前十港口中，出现负增长的仅有香港港和新加坡港，新加坡港增幅为-8.7%，反映出在世界经济不景气的背景下，以集装箱中转运输为主的港口，面临更大压力。
痛失世界第五宝座的釜山港，仍暂守第六名的位置。但4.2%的增速不容小觑，其与世界第五的香港港差距不足70万标箱。釜山港有卷土重来，重返世界前五的能力，其吞吐量也有望从的1943万标箱，进入2000万标箱级的港口大佬俱乐部。
第七青岛港吞吐量属于1700万标箱量级，以微弱优势超越广州港，位列第七位。是一个具有125年历史的老港，此外它还是世界最先进、亚洲首个全自动化集装箱码头。偌大的码头空无一人，作业却在有条不紊地进行。这一切全靠计算机控制下的无人驾驶转运车、全自动化桥吊完成，作业效率极高，是目前全球自动化程度最高、装卸效率最快的集装箱码头。
第八广州港，吞吐量属于1700万标箱量级，与青岛港差距微乎其微，因而位次竞争更加激烈。从近年的数据来看，二者都有以微弱优势超越对手的情况，且两港仅有几万标箱的差距，呈现贴身肉搏的胶着之势。
第九阿联酋的迪拜港，完成集装箱吞吐量1559万标箱，毫无悬念地保持了全球第九的排名。迪拜港位于阿联酋东北沿海，濒临波斯湾的南侧。是阿联酋最大的港口，该港地处亚欧非三大洲的交汇点，是中东地区最大的自由贸易港，尤以转口贸易发达而著称。
第十天津港，位于中国天津市滨海新区，地处渤海湾西端，背靠雄安新区，是京津冀的海上门户。在将劲敌鹿特丹港挑落马下后、首次跻身十大集装箱港口行列，目前已牢牢坐稳第十的位置，将与鹿特丹港差距从140万标箱扩大到的180多万标箱。
目前，全球1500万标箱以上港口共9个， 2000万标箱以上港口共5个， 3000万标箱以上港口为2个。按吞吐量计，全球十大集装箱港口中国港口完成的集装箱吞吐量比重占到七成。今天的就介绍到里。"
7,http://hz.m.chinanews.com/wapapp/toutiao/cj/2020/09-14/9290702.shtml,,,,
8,http://toutiao.com/group/6656359767667114510/,中国在全球打造的八大港口,信德海事,2019-02-10 21:15:29,"中国目前正通过在斯里兰卡、缅甸、巴基斯坦等海洋沿岸国家建造一系列港口来为自己的国际实力打造基础设施。我们来看看其中较为重要的八个港口和其位置。


图为缅甸皎漂港：皎漂港在缅甸若开邦的兰里岛北端城镇皎漂经济特区，是兰里岛和大陆构成的一个南北向的狭长海港。在孟加拉湾东北部。皎漂港是中缅铁路的终点，中缅油气管道的石油线起点就位于皎漂地区的马德岛，天然气起点在马德岛的下方某地。皎漂港中的天然气管道和铁路，均为中国斥巨资打造。


缅甸皎漂港的地址位置。


斯里兰卡汉班托特港：汉班托特港位于斯里兰卡首都科伦坡东南约240公里处，是一个有着悠久历史的港口城市。由中国港湾建设集团有限公司承建。汉班托特港地处南亚最南端，为中东、欧洲、非洲至东亚大陆的海运航线必经之地。全球50%以上的集装箱货运、三分之一散货海运及三分之二石油运输都要取道印度洋。几个重要交通咽喉，如霍尔木兹海峡和马六甲海峡，也都在印度洋上。


通过这里的油轮提供了中国进口石油的80%、印度进口石油的65%，日本几乎完全依赖通过印度洋的运输来保证能源供给。因此在印度洋获得实际影响力对中美日及其它很多国家都很重要。汉班托特对中国的意义在于它与印度南海岸接壤，能够成为中国在印度洋最重要的中转枢纽之一。图为斯里兰卡汉班托特港的位置。


巴基斯坦瓜达尔港：瓜达尔港是巴基斯坦的重要港口，瓜达尔港在是中国在印度洋海外战略中占据着重要的地理位置。瓜达尔港位于巴基斯坦西南边陲，靠近伊朗边境，距离“全球石油生命线”霍尔木兹海峡400公里。在瓜达尔港航线开通前，中国航运船必须从新加坡、马来西亚和印度尼西亚三国共同管辖的马六甲海峡通往印度洋。而现在，瓜达尔港的开航直接解开了中国在太平洋西岸的贸易枷锁。港口运行后，中国将货物运到中东、非洲也将比原先节约一个多月的时间，并将给中国西部地区带来更多的贸易机遇。


巴基斯坦瓜达尔港的地理位置。


埃及苏伊士港：伊士港位于埃及苏伊士省苏伊士湾北部海岸，苏伊士是埃及东部的一个港口城市，位于苏伊士运河南端出口，是尼罗河和红海之间航运的重要中转站。2008年中埃在此建立境外交易协作区后，到2012年年产值就达到了约5,500多万美元，2014年又继续扩增港口面积。


埃及苏伊士港的地理位置。


希腊比雷埃夫斯港：比雷埃夫斯港位于希腊东南部，为希腊最大港口，也是全球50大集装箱港及地中海东部地区最大的集装箱港口之一。2006年，比雷埃夫斯港排名欧洲十大集装箱码头之一。2008年中国用43亿欧元天价获得了该港的经营权，之后港口经济开展迅速，是被公认的在希腊最成功投资。


希腊比雷埃夫斯港的地理位置。


东非吉布提港：吉布提港是东非吉布提共和国自由港，埃塞俄比亚中转港。位于吉布提东南沿海塔朱拉湾的南岸入口处，濒临亚丁湾的西南侧，是吉布提的最大海港，也是东非最大的现代化港口之一。吉布提港地处欧、亚、非三大洲交通要冲，也是各国军舰打击索马里海盗和远洋航行时的重要补给港口。


东非吉布提港的地理位置。



巴布亚新几内亚莱城港：莱城是巴布亚新几内亚的第二大城市，莫雷贝省首府，人口约120,000。莱城位于新几内亚岛东部胡翁湾北岸近马卡姆河河口处，是巴布亚新几内亚的主要货物港口和工业城市。图为巴布亚新几内亚莱城港位置。



澳大利亚墨尔本港：墨尔本港位于澳大利亚东南部维多利亚州南部沿海的亚拉河口的墨尔本市，是澳大利亚最大的现代化港口，也是澳大利亚东南地区羊毛、肉类、水果及谷物的输出港，也是重要的国际贸易港口。中国主权财富基金中投公司将拥有墨尔本港五分之一的租赁权。"
9,http://hebei.hebnews.cn/2020-09/21/content_8116590.htm,,,,
